dataset,case_id,knn_k1,knn_k5,knn_k10
aortaseg24_test,subject061,0.006679499056190252,0.008290725760161877,0.008901159279048443
aortaseg24_test,subject062,0.006552229169756174,0.0069610970094799995,0.007712782826274633
aortaseg24_test,subject063,0.004401430021971464,0.007529299706220627,0.008093619719147682
aortaseg24_test,subject064,0.007011365611106157,0.009024975821375847,0.01025241706520319
aortaseg24_test,subject065,0.006221388932317495,0.009012722410261631,0.010932298377156258
aortaseg24_test,subject066,0.007139362394809723,0.007895343005657196,0.008567260578274727
aortaseg24_test,subject067,0.005706930998712778,0.007510877680033445,0.009084917604923248
aortaseg24_test,subject068,0.0071254619397223,0.007569803390651941,0.008176134899258614
aortaseg24_test,subject069,0.00559257110580802,0.006591528654098511,0.007826844230294228
aortaseg24_test,subject070,0.0053320955485105515,0.008302961476147175,0.009787307120859623
aortaseg24_test,subject071,0.005069514270871878,0.007237760815769434,0.008890122175216675
aortaseg24_test,subject072,0.006228189915418625,0.00674393167719245,0.007745468523353338
aortaseg24_test,subject073,0.0049530561082065105,0.007622848264873028,0.008232830092310905
aortaseg24_test,subject074,0.008397089317440987,0.008887432515621185,0.009766118600964546
aortaseg24_test,subject075,0.005064166150987148,0.0065451730042696,0.007386516779661179
aortaseg24_test,subject076,0.007934065535664558,0.009422995150089264,0.011245709843933582
aortaseg24_test,subject077,0.006919453386217356,0.0085686594247818,0.009166485629975796
aortaseg24_test,subject078,0.00753131415694952,0.009800144471228123,0.011707030236721039
aortaseg24_test,subject079,0.0070750657469034195,0.008663664571940899,0.009821358136832714
aortaseg24_test,subject080,0.005502565298229456,0.007343405392020941,0.008310910314321518
aortaseg24_test,subject081,0.005172773264348507,0.006446116603910923,0.007460343651473522
aortaseg24_test,subject082,0.0051889666356146336,0.007505698595196009,0.007879303768277168
aortaseg24_test,subject083,0.006156580522656441,0.007929632440209389,0.008664191700518131
aortaseg24_test,subject085,0.01031063124537468,0.014012952335178852,0.015306921675801277
aortaseg24_test,subject086,0.006330521777272224,0.007567230612039566,0.009547357447445393
aortaseg24_test,subject087,0.0072201271541416645,0.016657544299960136,0.018525680527091026
aortaseg24_test,subject088,0.004700361285358667,0.007612693589180708,0.00831573735922575
aortaseg24_test,subject089,0.007421152200549841,0.008175723254680634,0.009922510012984276
aortaseg24_test,subject090,0.007777446880936623,0.009517936035990715,0.012083827517926693
aortaseg24_test,subject091,0.007819747552275658,0.00840000994503498,0.00898140762001276
aortaseg24_test,subject092,0.007976462133228779,0.00907986517995596,0.009787044487893581
aortaseg24_test,subject093,0.005827757529914379,0.00703553156927228,0.007907391525804996
aortaseg24_test,subject094,0.003727706614881754,0.007031803950667381,0.0071510919369757175
aortaseg24_test,subject095,0.007093534339219332,0.008379274979233742,0.009714487008750439
aortaseg24_test,subject096,0.005457146093249321,0.006456946022808552,0.008277327753603458
aortaseg24_test,subject097,0.006747517269104719,0.008265139535069466,0.009777838364243507
aortaseg24_test,subject098,0.006598996929824352,0.00869548786431551,0.009116568602621555
aortaseg24_test,subject099,0.007576605770736933,0.00936468131840229,0.01047598011791706
aortaseg24_test,subject100,0.0062337820418179035,0.009817555546760559,0.012365910224616528
aortaseg24_test,subject101,0.009869731962680817,0.013750092126429081,0.014792154543101788
avt,D1,0.00786278024315834,0.009300222620368004,0.009909438900649548
avt,D10,0.007071017753332853,0.008397279307246208,0.008981688879430294
avt,D11,0.009377233684062958,0.010285078547894955,0.010994374752044678
avt,D12,0.008678698912262917,0.00958887580782175,0.010376324877142906
avt,D13,0.008111957460641861,0.009511636570096016,0.01039194781333208
avt,D14,0.016696687787771225,0.018978793174028397,0.020064223557710648
avt,D15,0.00772028136998415,0.009184394031763077,0.010203764773905277
avt,D16,0.008224504999816418,0.010085320100188255,0.011210955679416656
avt,D17,0.009651072323322296,0.011986649595201015,0.012864622287452221
avt,D18,0.007999569177627563,0.00888419896364212,0.009700166061520576
avt,D2,0.007127765566110611,0.007848437875509262,0.008472833782434464
avt,D3,0.00948463287204504,0.01053568348288536,0.011292506009340286
avt,D4,0.0067451284267008305,0.00808313675224781,0.00906778872013092
avt,D5,0.007417221087962389,0.00901318620890379,0.010384149849414825
avt,D6,0.007087758742272854,0.01015120092779398,0.01097750011831522
avt,D7,0.007787144742906094,0.012357677333056927,0.013560167513787746
avt,D8,0.0077680968679487705,0.009704172611236572,0.010072262957692146
avt,D9,0.010600481182336807,0.01294893492013216,0.013651784509420395
avt,K1,0.009142661467194557,0.011437145993113518,0.012400182895362377
avt,K10,0.008078641258180141,0.010091327130794525,0.01201781164854765
avt,K11,0.006450064480304718,0.007390967570245266,0.008464454673230648
avt,K12,0.008131719194352627,0.009341556578874588,0.011552139185369015
avt,K13,0.008157143369317055,0.009952976368367672,0.010967567563056946
avt,K14,0.007233009673655033,0.00903912354260683,0.009390796534717083
avt,K15,0.007428215350955725,0.007921509444713593,0.008774873800575733
avt,K16,0.00672969501465559,0.00766080804169178,0.008135807700455189
avt,K17,0.008771391585469246,0.010193603113293648,0.011866392567753792
avt,K18,0.00624037953093648,0.006960631348192692,0.008411793038249016
avt,K19,0.020129581913352013,0.025470197200775146,0.02681322768330574
avt,K2,0.01364841777831316,0.018218448385596275,0.020455537363886833
avt,K20,0.014063711278140545,0.014657517895102501,0.016513828188180923
avt,K3,0.006288574542850256,0.008952459320425987,0.010502655990421772
avt,K4,0.005581528414040804,0.007887180894613266,0.010632701218128204
avt,K5,0.005701500456780195,0.008227517828345299,0.008991871029138565
avt,K6,0.009785456582903862,0.010442128404974937,0.011260430328547955
avt,K7,0.08942330628633499,0.09860479086637497,0.09929174929857254
avt,K8,0.007677569054067135,0.009006793610751629,0.010039444081485271
avt,K9,0.009653300978243351,0.010348562151193619,0.011464506387710571
avt,R1,0.0172659233212471,0.018466034904122353,0.020003870129585266
avt,R10,0.009199853055179119,0.013454508036375046,0.014441698789596558
avt,R11,0.006257439497858286,0.0074701556004583836,0.008185843005776405
avt,R12,0.008165255188941956,0.010797247290611267,0.012270757928490639
avt,R13,0.007284121587872505,0.00856863334774971,0.010565941222012043
avt,R14,0.007413568440824747,0.011202764697372913,0.012927316129207611
avt,R15,0.00965571403503418,0.016445541754364967,0.01809605211019516
avt,R16,0.022234342992305756,0.029449714347720146,0.031619492918252945
avt,R17,0.006439790595322847,0.00701169716194272,0.007987483404576778
avt,R18,0.009655945934355259,0.016539933159947395,0.018564611673355103
avt,R2,0.010282905772328377,0.012411159463226795,0.013642326928675175
avt,R3,0.007120154332369566,0.009247138164937496,0.009892950765788555
avt,R4,0.011259053833782673,0.012519549578428268,0.014195778407156467
avt,R5,0.008935635909438133,0.009854502975940704,0.01149064488708973
avt,R6,0.009281531907618046,0.011205918155610561,0.012088817544281483
avt,R7,0.006440273951739073,0.007699648384004831,0.008751556277275085
avt,R8,0.0064772493205964565,0.009835351258516312,0.011691506020724773
avt,R9,0.01375372800976038,0.014830615371465683,0.016889678314328194
amos,amos_0001,0.011343580670654774,0.0136954290792346,0.01585097424685955
amos,amos_0004,0.006251039449125528,0.009052901528775692,0.009395168162882328
amos,amos_0005,0.011155225336551666,0.015665870159864426,0.01730331778526306
amos,amos_0006,0.00889943540096283,0.00971264112740755,0.011539901606738567
amos,amos_0007,0.009971300140023232,0.011328388936817646,0.012230639345943928
amos,amos_0008,0.01116408221423626,0.01495417021214962,0.016096774488687515
amos,amos_0009,0.008769244886934757,0.010520794428884983,0.011024157516658306
